#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking
9ab518395521e822a4f510d7a78c71585535a80b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	57	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae; g__Nakataea; s__Nakataea_sp; sh__SH1562396.09FU"	Nakataea	13	 Pathotroph	|Plant Pathogen|	Microfungus	NULL	Probable
0d51524f6a7b3228d99c0966049dd0bf66940406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Discosiaceae; g__Discosia; s__Discosia_sp; sh__SH2015423.09FU"	Discosia	13	 Pathotroph	|Plant Pathogen|	Microfungus	NULL	Probable
31cc084ee1d26234dffcbc0cc286c07fa8ee920a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Discosiaceae; g__Discosia; s__Discosia_sp; sh__SH2015626.09FU"	Discosia	13	 Pathotroph	|Plant Pathogen|	Microfungus	NULL	Probable
86a78185d6e3e8645e3b082f437df3f67bc547dc	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella; s__Tremella_sp; sh__SH1616312.09FU"	Tremella	13	 Pathotroph	|Fungal Parasite|-Lichen Parasite	Dimorphic-Facultative Yeast-Microfungus-Tremelloid	NULL	Probable
0d49ee57a2acc420031bf6675297f39eead974de	0	0	0	0	0	18	5	0	0	34	37	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	131	0	0	0	0	0	0	"k__Fungi; p__Chytridiomycota; c__Rhizophydiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__Rhizophydium; s__Rhizophydium_sp; sh__SH2034188.09FU"	Rhizophydium	13	 Pathotroph-Pathotroph-Saprotroph	|Algal Parasite|-Plant Pathogen-Plant Saprotroph-Protist Parasite-Undefined Saprotroph	Chytrid-Microfungus	NULL	Probable
ef004e04898e79b7727b9a5e9e61ed3442ff67ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	5	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Venturia; s__Venturia_sp; sh__SH1501214.09FU"	Venturia	13	 Pathotroph-Pathotroph-Saprotroph	|Plant Pathogen|-Plant Saprotroph	Microfungus	NULL	Probable
4d1c6a18313af2148eb846b7e910fba3e274f851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Venturia; s__Venturia_sp; sh__SH1501214.09FU"	Venturia	13	 Pathotroph-Pathotroph-Saprotroph	|Plant Pathogen|-Plant Saprotroph	Microfungus	NULL	Probable
63fa1f6608c9f0f4c85251ebec329ac0d54f9c7d	42	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Venturia; s__Venturia_sp; sh__SH1539199.09FU"	Venturia	13	 Pathotroph-Pathotroph-Saprotroph	|Plant Pathogen|-Plant Saprotroph	Microfungus	NULL	Probable
2fbfe95fbd55629e869dc195c30bc561b57e945a	0	0	15	6	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Venturia; s__Venturia_sp; sh__SH1539085.09FU"	Venturia	13	 Pathotroph-Pathotroph-Saprotroph	|Plant Pathogen|-Plant Saprotroph	Microfungus	NULL	Probable
9fad37259445509bd298624ed8f36a129df80d09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	9	0	0	0	0	9	0	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Venturia; s__Venturia_sp; sh__SH1539185.09FU"	Venturia	13	 Pathotroph-Pathotroph-Saprotroph	|Plant Pathogen|-Plant Saprotroph	Microfungus	NULL	Probable
